Season_team,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,pWAR,PA,AVG,OBP,SLG,wOBA,BsR,Off,Def,WAR,Wins
2017NYY,1448.2,9.691676443,3.131157005,1.192821716,0.2801804192,0.745,3.746205702,3.880374162,23.37046723,6354,0.262,0.339,0.447,0.3355148512,11.0632063,82.34961513,-5.793,28.75234249,91.000
2017NYM,1434.2,8.619423246,3.720027645,1.380111437,0.3186653772,0.705,5.012313809,4.590725582,8.657392897,6169,0.25,0.32,0.434,0.3216870284,-11.266,-7.199,-0.958,20.00889002,70.000
2017MIN,1436,7.307803192,3.027160327,1.403900442,0.2962702322,0.725,4.600280911,4.714744034,8.884,6261,0.26,0.334,0.434,0.3288700086,14.36942519,39.71786157,38.63688977,28.62196348,85.000
2017MIL,1445.2,8.379531777,3.442705106,1.151718706,0.2978087649,0.748,3.996775186,4.23949486,17.05152531,6135,0.249,0.322,0.429,0.321,2.368968597,-48.543,67.79786341,22.62234297,86.000
2017MIA,1442.2,7.498613357,3.911506302,1.204020281,0.2977967306,0.707,4.816,4.690218664,5.537556221,6248,0.267,0.331,0.431,0.3245974213,1.39429653,9.005957332,37.95323479,25.76104635,77.000
2017LAD,1444.2,9.649973887,2.753575505,1.146284826,0.2808625337,0.778,3.382786198,3.669868898,21.71734394,6191,0.249,0.334,0.437,0.3296335841,5.841677693,40.69320191,56.60783427,30.57900326,104.000
2017LAA,1440.2,8.196212392,2.936143159,1.399353335,0.2886934673,0.749,4.198060006,4.427886502,11.02395676,6073,0.243,0.315,0.397,0.306782635,1.374553874,-61.289,22.41897458,16.32975269,80.000
2017KCR,1437.2,7.612336448,3.24901531,1.226988441,0.3031877214,0.709,4.632507378,4.429840771,13.67854008,6027,0.259,0.311,0.42,0.3122521344,2.503106283,-65.634,-15.719,11.94860984,80.000
2017HOU,1446,9.914932395,3.248960898,1.1950201,0.3004820568,0.737,4.120329721,3.908677109,19.01491111,6271,0.282,0.346,0.478,0.348602036,-0.44,162.600314,2.020989687,37.24100978,101.000
2017DET,1420.1,7.616518688,3.40905745,1.381365286,0.3199345642,0.687,5.360711157,4.725581299,11.47133123,6150,0.258,0.324,0.424,0.3207948658,-19.776,-37.741,-63.401,10.38819538,64.000
2017COL,1437.2,7.950386038,3.330397931,1.189427832,0.3054413543,0.722,4.513565617,4.323418561,18.58682003,6201,0.273,0.338,0.444,0.3324029765,-6.393,-105.755,37.72953936,14.15838178,87.000
2017CLE,1440.2,10.08282754,2.536324649,1.018278123,0.3034634415,0.775,3.304718569,3.32700613,30.35328872,6234,0.263,0.339,0.449,0.3359313322,11.07322457,48.838,33.18112757,28.8968882,102.000
2017CIN,1430,8.182,3.971330812,1.560840002,0.2962779156,0.711,5.167135652,5.079319529,5.321494889,6213,0.253,0.329,0.433,0.3249787002,-5.347,-47.401,54.636343,21.68937097,68.000
2017CHW,1421.2,7.552404282,4.000938396,1.532004892,0.2809348093,0.724,4.779602039,5.169363767,4.362199318,6059,0.256,0.314,0.417,0.3130343656,-1.942,-36.369,-5.536,15.98115601,67.000
2017CHC,1447.1,8.948178072,3.444955283,1.206356182,0.2853437095,0.742,3.954858411,4.196792346,16.81074997,6283,0.255,0.338,0.437,0.3310098586,-6.779,4.825284366,48.49644174,26.51241264,92.000
2017BOS,1482.1,9.592988614,2.823252978,1.183944797,0.3026985743,0.757,3.733979745,3.77625976,23.18870968,6338,0.258,0.329,0.407,0.3163642826,4.864877698,-63.983,5.024,15.21174136,93.000
2017BAL,1441,7.700900545,3.616237969,1.511450066,0.3022254128,0.722,4.9715465,4.959860475,8.613298898,6140,0.26,0.312,0.435,0.3182896627,-14.91,-51.263,-47.58,10.58373948,75.000
2017ATL,1441.1,7.855228894,3.646624542,1.19889026,0.3024750119,0.701,4.720630401,4.50500411,8.959,6216,0.263,0.326,0.412,0.3156382583,4.262460594,-87.584,24.70732628,14.72144887,72.000
2017ARI,1441,9.256078437,3.222764152,1.06800905,0.2944372574,0.742,3.672452173,3.79678009,22.86423819,6224,0.254,0.329,0.445,0.3292310541,12.41214397,-27.911,31.22638616,21.33636347,93.000
2016WSN,1459.2,9.100708139,2.885590386,0.9556976704,0.2878865979,0.75,3.520666902,3.583656023,23.49875498,6201,0.256,0.326,0.426,0.3216047727,15.95792288,-16.45,43.85031553,22.815,95.000
2016TOR,1459.1,8.103703162,2.843080029,1.128597929,0.282,0.745,3.792829105,4.044925648,16.82106868,6233,0.248,0.33,0.426,0.3266412554,-9.031,21.85168362,-2.432,23.7199321,89.000
2016TEX,1443,7.197507265,3.330562287,1.253638614,0.292,0.728,4.384616644,4.578309763,12.61544556,6089,0.262,0.322,0.433,0.3240014899,2.03199571,-37.015,1.214632615,17.57065586,95.000
2016TBR,1426.1,8.562517412,3.09815479,1.325076387,0.2972905168,0.742,4.196075224,4.257811228,10.57234958,6046,0.243,0.307,0.426,0.3145078115,-0.366,-13.046,-25.689,17.12058985,68.000
2016STL,1448.1,8.016109678,2.951668292,0.988032123,0.304,0.718,4.076409262,3.883969156,16.57761387,6223,0.255,0.325,0.443,0.3289138854,-17.055,18.92658757,23.12289876,24.38366091,86.000
2016SFG,1460.1,8.067333479,2.705545758,0.9737499539,0.287,0.743,3.691621661,3.756704384,14.21343253,6271,0.258,0.329,0.398,0.315,-2.815,-34.821,72.378,24.07918255,87.000
2016SEA,1457,8.141390926,2.841,1.315717957,0.2918800293,0.749,3.996570508,4.298252096,14.45327346,6227,0.259,0.326,0.43,0.3252820986,-13.547,44.63248478,-27.838,23.4305641,86.000
2016SDP,1440,7.637502242,3.556251044,1.143750336,0.2956438943,0.713,4.443751304,4.397264731,8.62092669,6000,0.235,0.299,0.39,0.2973248207,24.76303169,-92.302,-1.607,9.76,68.000
2016PIT,1450.2,7.643378949,3.306754042,1.116727444,0.3063799953,0.725,4.224952163,4.303968301,8.986054516,6261,0.257,0.332,0.402,0.3184332586,-6.654,-26.467,46.29624818,22.23387984,78.000
2016PHI,1437,8.135699774,2.918580519,1.334029293,0.3035800677,0.705,4.640918809,4.344899832,13.90531143,5992,0.24,0.301,0.385,0.2959934292,0.8822536394,-137.484,20.84980002,7.410035442,71.000
2016OAK,1433.1,7.459532431,2.913487414,1.161627525,0.2992717876,0.707,4.514649679,4.242616071,13.669511,6022,0.246,0.304,0.395,0.3018854007,-22.249,-100.552,-62.161,4.358052882,69.000
